state,district,year,month,pincode,age_0_5,age_5_17,age_18_greater,total_activity,roll_3m,season,baseline_med,deviation_score,is_anomaly
100000,100000,2025,9,800000,0,0,12,12,12.0,Monsoon,12.0,0.0,False
100000,100000,2025,10,100000,0,1,0,1,6.5,Festival,6.5,-0.7333333333333333,False
100000,100000,2025,11,400000,0,0,11,11,8.0,Festival,11.0,0.0,False
100000,100000,2025,12,900000,0,0,194,194,68.66666666666667,Festival,11.0,15.25,True
Andaman & Nicobar Islands,Andamans,2025,9,18602703,23,4,0,27,27.0,Monsoon,27.0,0.0,False
Andaman & Nicobar Islands,Andamans,2025,10,10417456,15,0,0,15,21.0,Festival,21.0,-0.2727272727272727,False
Andaman & Nicobar Islands,Andamans,2025,11,8929449,13,0,0,13,18.33333333333333,Festival,15.0,-0.125,False
Andaman & Nicobar Islands,Andamans,2025,12,11905973,19,1,0,20,16.0,Festival,15.0,0.3125,False
Andaman & Nicobar Islands,Nicobars,2025,9,744301,1,0,0,1,1.0,Monsoon,1.0,0.0,False
Andaman & Nicobar Islands,South Andaman,2025,9,9673770,15,0,0,15,15.0,Monsoon,15.0,0.0,False
Andaman & Nicobar Islands,South Andaman,2025,10,5208836,7,0,0,7,11.0,Festival,11.0,-0.3333333333333333,False
Andaman & Nicobar Islands,South Andaman,2025,11,5208832,8,0,0,8,10.0,Festival,8.0,0.0,False
Andaman & Nicobar Islands,South Andaman,2025,12,5953033,8,0,0,8,7.666666666666667,Festival,8.0,0.0,False
Andaman and Nicobar Islands,Nicobar,2025,9,15630331,41,6,0,47,47.0,Monsoon,47.0,0.0,False
Andaman and Nicobar Islands,Nicobar,2025,10,3721505,6,4,0,10,28.5,Festival,28.5,-0.6271186440677966,False
Andaman and Nicobar Islands,Nicobar,2025,11,5954409,12,0,0,12,23.0,Festival,12.0,0.0,False
Andaman and Nicobar Islands,Nicobar,2025,12,2977207,5,1,0,6,9.333333333333334,Festival,10.0,-0.36363636363636365,False
Andaman and Nicobar Islands,North And Middle Andaman,2025,9,19349296,38,2,0,40,40.0,Monsoon,40.0,0.0,False
Andaman and Nicobar Islands,North And Middle Andaman,2025,10,13395665,20,1,0,21,30.5,Festival,30.5,-0.30158730158730157,False
Andaman and Nicobar Islands,North And Middle Andaman,2025,11,18605113,31,0,0,31,30.666666666666668,Festival,31.0,0.0,False
Andaman and Nicobar Islands,North And Middle Andaman,2025,12,22326128,39,1,0,40,30.666666666666668,Festival,31.0,0.28125,False
Andaman and Nicobar Islands,South Andaman,2025,9,39438944,54,4,0,58,24.666666666666668,Monsoon,8.0,5.555555555555555,True
Andaman and Nicobar Islands,South Andaman,2025,10,17114900,26,3,0,29,31.666666666666668,Festival,29.0,0.0,False
Andaman and Nicobar Islands,South Andaman,2025,11,29764852,45,3,0,48,45.0,Festival,48.0,0.0,False
Andaman and Nicobar Islands,South Andaman,2025,12,26788462,53,2,0,55,44.0,Festival,48.0,0.14285714285714285,False
Andhra Pradesh,Adilabad,2025,9,180014636,523,131,0,654,654.0,Monsoon,654.0,0.0,False
Andhra Pradesh,Adilabad,2025,10,95300527,236,71,1,308,481.0,Festival,481.0,-0.35892116182572614,False
Andhra Pradesh,Adilabad,2025,11,119506172,286,63,0,349,437.0,Festival,349.0,0.0,False
Andhra Pradesh,Adilabad,2025,12,43869419,92,16,0,108,255.0,Festival,308.0,-0.6472491909385113,False
Andhra Pradesh,Alluri Sitharama Raju,2025,9,124893582,332,47,8,387,387.0,Monsoon,387.0,0.0,False
Andhra Pradesh,Alluri Sitharama Raju,2025,10,97206591,265,26,4,295,341.0,Festival,341.0,-0.13450292397660818,False
Andhra Pradesh,Alluri Sitharama Raju,2025,11,103030382,280,32,14,326,336.0,Festival,326.0,0.0,False
Andhra Pradesh,Alluri Sitharama Raju,2025,12,67636845,228,11,8,247,289.3333333333333,Festival,295.0,-0.16216216216216217,False
Andhra Pradesh,Anakapalli,2025,9,66911975,146,4,0,150,150.0,Monsoon,150.0,0.0,False
Andhra Pradesh,Anakapalli,2025,10,45667452,86,4,0,90,120.0,Festival,120.0,-0.24793388429752067,False
Andhra Pradesh,Anakapalli,2025,11,75410439,169,4,4,177,139.0,Festival,150.0,0.17880794701986755,False
Andhra Pradesh,Anakapalli,2025,12,47262847,122,0,4,126,131.0,Festival,126.0,0.0,False
Andhra Pradesh,Anantapur,2025,9,434088694,1266,122,0,1388,1388.0,Monsoon,1388.0,0.0,False
Andhra Pradesh,Anantapur,2025,10,307247123,979,80,0,1059,1223.5,Festival,1223.5,-0.13434054716210697,False
Andhra Pradesh,Anantapur,2025,11,387664805,1232,88,0,1320,1255.6666666666667,Festival,1320.0,0.0,False
Andhra Pradesh,Anantapur,2025,12,195897105,612,36,0,648,1009.0,Festival,1059.0,-0.3877358490566038,False
Andhra Pradesh,Ananthapur,2025,9,223743031,521,50,0,571,571.0,Monsoon,571.0,0.0,False
Andhra Pradesh,Ananthapur,2025,10,159817810,418,39,0,457,514.0,Festival,514.0,-0.11067961165048544,False
