state,district,year,month,pincode,age_0_5,age_5_17,age_18_greater,total_activity,roll_3m,season
100000,100000,2025,9,800000,0,0,12,12,12.0,Monsoon
100000,100000,2025,10,100000,0,1,0,1,6.5,Festival
100000,100000,2025,11,400000,0,0,11,11,8.0,Festival
100000,100000,2025,12,900000,0,0,194,194,68.66666666666667,Festival
Andaman & Nicobar Islands,Andamans,2025,9,18602703,23,4,0,27,27.0,Monsoon
Andaman & Nicobar Islands,Andamans,2025,10,10417456,15,0,0,15,21.0,Festival
Andaman & Nicobar Islands,Andamans,2025,11,8929449,13,0,0,13,18.333333333333332,Festival
Andaman & Nicobar Islands,Andamans,2025,12,11905973,19,1,0,20,16.0,Festival
Andaman & Nicobar Islands,Nicobars,2025,9,744301,1,0,0,1,1.0,Monsoon
Andaman & Nicobar Islands,South Andaman,2025,9,9673770,15,0,0,15,15.0,Monsoon
Andaman & Nicobar Islands,South Andaman,2025,10,5208836,7,0,0,7,11.0,Festival
Andaman & Nicobar Islands,South Andaman,2025,11,5208832,8,0,0,8,10.0,Festival
Andaman & Nicobar Islands,South Andaman,2025,12,5953033,8,0,0,8,7.666666666666667,Festival
Andaman and Nicobar Islands,Nicobar,2025,9,15630331,41,6,0,47,47.0,Monsoon
Andaman and Nicobar Islands,Nicobar,2025,10,3721505,6,4,0,10,28.5,Festival
Andaman and Nicobar Islands,Nicobar,2025,11,5954409,12,0,0,12,23.0,Festival
Andaman and Nicobar Islands,Nicobar,2025,12,2977207,5,1,0,6,9.333333333333334,Festival
Andaman and Nicobar Islands,North And Middle Andaman,2025,9,19349296,38,2,0,40,40.0,Monsoon
Andaman and Nicobar Islands,North And Middle Andaman,2025,10,13395665,20,1,0,21,30.5,Festival
Andaman and Nicobar Islands,North And Middle Andaman,2025,11,18605113,31,0,0,31,30.666666666666668,Festival
Andaman and Nicobar Islands,North And Middle Andaman,2025,12,22326128,39,1,0,40,30.666666666666668,Festival
Andaman and Nicobar Islands,South Andaman,2025,9,39438944,54,4,0,58,24.666666666666668,Monsoon
Andaman and Nicobar Islands,South Andaman,2025,10,17114900,26,3,0,29,31.666666666666668,Festival
Andaman and Nicobar Islands,South Andaman,2025,11,29764852,45,3,0,48,45.0,Festival
Andaman and Nicobar Islands,South Andaman,2025,12,26788462,53,2,0,55,44.0,Festival
Andhra Pradesh,Adilabad,2025,9,180014636,523,131,0,654,654.0,Monsoon
Andhra Pradesh,Adilabad,2025,10,95300527,236,71,1,308,481.0,Festival
Andhra Pradesh,Adilabad,2025,11,119506172,286,63,0,349,437.0,Festival
Andhra Pradesh,Adilabad,2025,12,43869419,92,16,0,108,255.0,Festival
Andhra Pradesh,Alluri Sitharama Raju,2025,9,124893582,332,47,8,387,387.0,Monsoon
Andhra Pradesh,Alluri Sitharama Raju,2025,10,97206591,265,26,4,295,341.0,Festival
Andhra Pradesh,Alluri Sitharama Raju,2025,11,103030382,280,32,14,326,336.0,Festival
Andhra Pradesh,Alluri Sitharama Raju,2025,12,67636845,228,11,8,247,289.3333333333333,Festival
Andhra Pradesh,Anakapalli,2025,9,66911975,146,4,0,150,150.0,Monsoon
Andhra Pradesh,Anakapalli,2025,10,45667452,86,4,0,90,120.0,Festival
Andhra Pradesh,Anakapalli,2025,11,75410439,169,4,4,177,139.0,Festival
Andhra Pradesh,Anakapalli,2025,12,47262847,122,0,4,126,131.0,Festival
Andhra Pradesh,Anantapur,2025,9,434088694,1266,122,0,1388,1388.0,Monsoon
Andhra Pradesh,Anantapur,2025,10,307247123,979,80,0,1059,1223.5,Festival
Andhra Pradesh,Anantapur,2025,11,387664805,1232,88,0,1320,1255.6666666666667,Festival
Andhra Pradesh,Anantapur,2025,12,195897105,612,36,0,648,1009.0,Festival
Andhra Pradesh,Ananthapur,2025,9,223743031,521,50,0,571,571.0,Monsoon
Andhra Pradesh,Ananthapur,2025,10,159817810,418,39,0,457,514.0,Festival
Andhra Pradesh,Ananthapur,2025,11,191267901,476,34,0,510,512.6666666666666,Festival
Andhra Pradesh,Ananthapur,2025,12,157747723,428,28,0,456,474.3333333333333,Festival
Andhra Pradesh,Ananthapuramu,2025,9,322729433,917,52,4,973,973.0,Monsoon
Andhra Pradesh,Ananthapuramu,2025,10,222705840,669,42,1,712,842.5,Festival
Andhra Pradesh,Ananthapuramu,2025,11,271176832,829,41,3,873,852.6666666666666,Festival
Andhra Pradesh,Ananthapuramu,2025,12,197444124,603,24,2,629,738.0,Festival
Andhra Pradesh,Annamayya,2025,9,106966246,244,14,48,306,306.0,Monsoon
Andhra Pradesh,Annamayya,2025,10,71319849,164,15,6,185,245.5,Festival
Andhra Pradesh,Annamayya,2025,11,106954895,250,11,30,291,260.6666666666667,Festival
Andhra Pradesh,Annamayya,2025,12,76987873,210,8,21,239,238.33333333333334,Festival
Andhra Pradesh,Bapatla,2025,9,61680340,113,18,3,134,134.0,Monsoon
Andhra Pradesh,Bapatla,2025,10,38685657,75,11,2,88,111.0,Festival
Andhra Pradesh,Bapatla,2025,11,66900307,133,13,6,152,124.66666666666667,Festival
Andhra Pradesh,Bapatla,2025,12,49127644,100,13,5,118,119.33333333333333,Festival
Andhra Pradesh,Chittoor,2025,9,625101099,2314,246,12,2572,2572.0,Monsoon
Andhra Pradesh,Chittoor,2025,10,409237542,1618,165,5,1788,2180.0,Festival
Andhra Pradesh,Chittoor,2025,11,517492609,2143,170,13,2326,2228.6666666666665,Festival
Andhra Pradesh,Chittoor,2025,12,316629704,1418,78,13,1509,1874.3333333333333,Festival
Andhra Pradesh,Cuddapah,2025,9,469270793,1561,162,0,1723,1723.0,Monsoon
Andhra Pradesh,Cuddapah,2025,10,323690579,1206,83,0,1289,1506.0,Festival
Andhra Pradesh,Cuddapah,2025,11,420746997,1604,115,1,1720,1577.3333333333333,Festival
Andhra Pradesh,Cuddapah,2025,12,247800439,1148,53,1,1202,1403.6666666666667,Festival
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,9,96519100,199,12,9,220,220.0,Monsoon
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,10,54924733,99,9,1,109,164.5,Festival
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,11,88519975,179,7,4,190,173.0,Festival
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,12,59191343,141,2,3,146,148.33333333333334,Festival
Andhra Pradesh,East Godavari,2025,9,770427198,2291,209,3,2503,2503.0,Monsoon
Andhra Pradesh,East Godavari,2025,10,468312709,1361,126,1,1488,1995.5,Festival
Andhra Pradesh,East Godavari,2025,11,631776175,2041,116,5,2162,2051.0,Festival
Andhra Pradesh,East Godavari,2025,12,394367340,1468,56,1,1525,1725.0,Festival
Andhra Pradesh,Eluru,2025,9,83238439,165,16,1,182,182.0,Monsoon
Andhra Pradesh,Eluru,2025,10,47173373,100,10,1,111,146.5,Festival
Andhra Pradesh,Eluru,2025,11,92614429,180,13,10,203,165.33333333333334,Festival
Andhra Pradesh,Eluru,2025,12,54573374,123,6,4,133,149.0,Festival
Andhra Pradesh,Guntur,2025,9,688969364,2402,337,9,2748,2748.0,Monsoon
Andhra Pradesh,Guntur,2025,10,454440407,1514,219,1,1734,2241.0,Festival
Andhra Pradesh,Guntur,2025,11,607993499,2698,257,14,2969,2483.6666666666665,Festival
Andhra Pradesh,Guntur,2025,12,413699688,2155,112,11,2278,2327.0,Festival
Andhra Pradesh,Hyderabad,2025,9,312021242,1151,339,1,1491,1491.0,Monsoon
Andhra Pradesh,Hyderabad,2025,10,222014853,967,280,0,1247,1369.0,Festival
Andhra Pradesh,Hyderabad,2025,11,265517287,1083,284,0,1367,1368.3333333333333,Festival
Andhra Pradesh,Hyderabad,2025,12,138509103,630,105,0,735,1116.3333333333333,Festival
Andhra Pradesh,K.V. Rangareddy,2025,9,3012871,6,1,0,7,7.0,Monsoon
Andhra Pradesh,K.V. Rangareddy,2025,10,4018698,5,3,0,8,7.5,Festival
Andhra Pradesh,K.V. Rangareddy,2025,11,501141,1,0,0,1,5.333333333333333,Festival
Andhra Pradesh,K.V. Rangareddy,2025,12,1502334,3,0,0,3,4.0,Festival
Andhra Pradesh,K.V.Rangareddy,2025,9,14541663,26,3,0,29,29.0,Monsoon
Andhra Pradesh,K.V.Rangareddy,2025,10,7034007,11,6,0,17,23.0,Festival
Andhra Pradesh,K.V.Rangareddy,2025,11,7011745,12,3,0,15,20.333333333333332,Festival
Andhra Pradesh,K.V.Rangareddy,2025,12,3502896,6,2,0,8,13.333333333333334,Festival
Andhra Pradesh,Kakinada,2025,9,113055160,238,24,9,271,271.0,Monsoon
Andhra Pradesh,Kakinada,2025,10,72527147,169,28,2,199,235.0,Festival
Andhra Pradesh,Kakinada,2025,11,102926438,246,19,11,276,248.66666666666666,Festival
Andhra Pradesh,Kakinada,2025,12,84791212,205,13,5,223,232.66666666666666,Festival
Andhra Pradesh,Karim Nagar,2025,9,10609535,20,4,0,24,24.0,Monsoon
Andhra Pradesh,Karim Nagar,2025,10,10104875,21,4,0,25,24.5,Festival
Andhra Pradesh,Karim Nagar,2025,11,9093271,19,3,0,22,23.666666666666668,Festival
Andhra Pradesh,Karim Nagar,2025,12,4547436,11,0,0,11,19.333333333333332,Festival
Andhra Pradesh,Karimnagar,2025,9,110676150,225,50,0,275,275.0,Monsoon
Andhra Pradesh,Karimnagar,2025,10,70751213,143,24,0,167,221.0,Festival
Andhra Pradesh,Karimnagar,2025,11,60642004,119,21,0,140,194.0,Festival
Andhra Pradesh,Karimnagar,2025,12,36889857,65,12,0,77,128.0,Festival
Andhra Pradesh,Khammam,2025,9,157218464,340,119,0,459,459.0,Monsoon
Andhra Pradesh,Khammam,2025,10,103966607,201,59,0,260,359.5,Festival
Andhra Pradesh,Khammam,2025,11,112588819,227,72,0,299,339.3333333333333,Festival
